id action freq period
12 A31 P2 9-12
2 A58 P10 3-5
17 A21 P4 1-3
14 A63 P7 1-3
20 A39 P5 9-12
3 A78 P6 3-5
20 A80 P7 9-12
13 A66 P2 3-5
10 A3 P10 9-12
26 A68 P10 9-12
19 A14 P1 9-12
21 A27 P7 3-5
25 A28 P7 9-12
5 A77 P1 9-12
21 A12 P4 9-12
23 A88 P7 1-3
23 A17 P2 1-3
2 A80 P3 9-12
3 A81 P10 1-3
23 A26 P7 3-5
30 A36 P6 3-5
25 A37 P9 3-5
11 A34 P8 9-12
22 A60 P4 3-5
7 A1 P7 3-5
2 A9 P8 9-12
25 A87 P8 9-12
28 A65 P6 3-5
10 A14 P7 9-12
29 A5 P10 9-12
15 A84 P5 9-12
11 A29 P1 1-3
21 A28 P1 3-5
19 A89 P10 1-3
29 A95 P9 3-5
2 A50 P4 1-3
17 A94 P5 9-12
23 A77 P8 1-3
1 A58 P10 1-3
29 A92 P3 1-3
27 A71 P4 3-5
30 A9 P6 3-5
6 A65 P10 3-5
30 A21 P1 9-12
19 A74 P10 1-3
11 A0 P4 9-12
23 A39 P7 9-12
25 A23 P5 1-3
6 A18 P9 1-3
22 A7 P5 9-12
9 A42 P6 3-5
10 A47 P9 1-3
16 A71 P2 1-3
26 A68 P8 1-3
13 A18 P5 9-12
24 A32 P7 9-12
20 A76 P10 3-5
28 A18 P8 9-12
26 A92 P10 1-3
24 A80 P4 9-12
23 A61 P3 9-12
8 A54 P10 9-12
30 A3 P1 9-12
10 A47 P10 9-12
19 A33 P6 9-12
30 A42 P6 3-5
15 A51 P3 9-12
11 A12 P4 9-12
17 A29 P1 1-3
30 A23 P10 3-5
15 A29 P5 3-5
10 A54 P5 9-12
16 A84 P10 3-5
16 A87 P4 9-12
19 A67 P2 1-3
30 A70 P4 3-5
14 A86 P4 3-5
30 A32 P6 9-12
29 A84 P1 3-5
17 A48 P3 9-12
8 A0 P4 3-5
4 A98 P6 1-3
2 A40 P10 1-3
8 A78 P4 3-5
28 A87 P8 1-3
29 A32 P5 1-3
24 A37 P3 3-5
6 A19 P1 3-5
27 A10 P1 9-12
17 A46 P2 3-5
2 A16 P5 1-3
5 A35 P2 9-12
10 A59 P10 9-12
22 A51 P3 1-3
21 A37 P3 3-5
26 A38 P8 3-5
15 A40 P6 9-12
3 A62 P5 1-3
15 A60 P9 9-12
29 A2 P7 3-5
2 A50 P3 3-5
25 A75 P5 9-12
